shortnam,avelf,lat_abst,temp1,temp2,temp3,temp4,temp5,humid1,humid2,humid3,humid4,steplow,deslow,stepmid,desmid,drystep,drywint,edes1975,avexpr,logpgp95,landlock,goldm,iron,silv,zinc,oilres,logem4,baseco
SLV,.051428571,.15000001,9,20,42,-25,8,71,85,46,76,0,0,0,0,0,0,20,5,7.9480319,0,0,0,0,0,0,4.3579903,1
SOM,.079116009,.11111111,28,30,36,15,21,78,85,75,80,1,1,0,0,0,0,0,3,,0,0,0,0,0,0,,
STP,0,.011111111,19,22,44,-6,15,51,83,34,66,0,0,0,0,0,0,100,8.409091,,0,0,0,0,0,0,,
SUR,.75,.044444446,27,33,37,17,19,87,92,66,80,0,0,0,0,0,0,1,4.681818,8.0100002,0,0,0,0,0,0,3.4713452,
SVK,,.53777778,6,10,39,-27,4,74,90,51,82,0,0,0,0,0,0,100,,8.8522358,1,0,0,0,0,,,
SVN,,.51111114,,,,,,,,,,,,,,,,100,,9.3001814,0,,,,,,,
SWE,.065036766,.68888891,6,10,35,-28,8,66,89,53,86,0,0,0,0,0,0,100,9.5,9.8663044,0,0,3,0,0,0,,
SWZ,0,.2922222,,,,,,,,,,,,,,,,0,,8.1077204,1,,,,,,,
SYR,.094791964,.3888889,20,21,45,-6,13,43,81,19,59,0,1,0,0,0,0,0,5.818182,8.0294333,0,0,0,0,0,123000,,
TCD,.66620034,.16666667,28,36,46,8,19,32,93,10,72,0,1,0,0,0,0,0,,6.8351846,1,0,0,0,0,0,5.6347895,
TGO,.72848684,.088888891,27,32,38,15,21,95,97,61,77,1,0,0,0,1,0,0,6.909091,7.2225661,0,0,0,0,0,0,6.5042882,1
THA,.35694879,.16666667,28,37,41,11,22,90,94,53,70,0,0,0,0,0,0,0,7.6363635,8.774931,0,0,0,0,0,4260,4.9416423,
TJK,,.43333334,13,19,41,-28,9,59,82,32,63,1,1,0,0,0,0,,,6.8875527,1,0,0,0,0,0,,
TKM,,.44444445,14,16,42,-17,14,52,77,41,69,1,0,0,0,0,0,,,7.6401234,1,0,0,0,0,0,,
TTO,.23126984,.12222222,26,35,38,11,16,83,89,61,76,0,0,0,0,0,0,40,7.4545455,8.7687302,0,0,0,0,0,442000,4.4426513,1
TUN,.070252195,.37777779,24,25,48,-1,11,72,86,40,64,1,0,0,0,0,0,0,6.4545455,8.4826021,0,0,0,0,0,198000,4.1431346,1
TUR,.16356839,.43333334,9,15,38,-25,7,54,86,25,71,0,1,0,0,0,0,0,7.4545455,8.6411791,0,0,0,0,0,7970,,
TWN,,,21,30,38,0,19,90,93,62,75,0,0,0,0,0,0,0,9.227273,,0,0,0,0,0,0,,
TZA,.89024693,.06666667,22,31,36,8,16,70,84,36,56,0,0,0,0,0,0,0,6.6363635,6.253829,0,0,0,0,0,0,5.6347895,1
UGA,.83579069,.011111111,24,29,36,12,15,78,89,54,72,0,0,0,0,1,0,0,4.4545455,6.9660244,1,0,0,0,0,0,5.6347895,1
UKR,,.54444444,5,8,35,-25,9,69,92,50,84,0,0,0,0,0,0,100,,7.8119736,0,0,0,0,0,,,
URY,.06666667,.36666667,20,26,43,-4,8,73,89,52,69,0,0,0,0,0,0,90,7,9.0312138,0,0,0,0,0,0,4.2626801,1
USA,.20903142,.42222223,27,32,37,15,21,62,70,59,68,0,0,0,0,0,0,83.600006,10,10.21574,0,11,6,11,13,95700,2.7080503,1
UZB,,.45555556,13,16,42,-17,14,52,77,41,69,0,1,0,0,0,0,,,7.8079166,0,0,0,0,0,0,,
VEN,.052499998,.088888891,20,28,33,7,12,78,84,60,63,1,1,0,0,0,0,20,7.1363635,9.0710783,0,0,2,0,0,3040000,4.3579903,1
VNM,.11764706,.17777778,25,33,43,6,22,74,83,67,76,0,0,0,0,0,0,0,6.409091,7.2793188,0,0,0,0,0,7140,4.9416423,1
YEM,.0122,.16666667,30,31,41,19,24,63,79,52,69,0,0,0,0,0,0,0,6.3636365,6.6463904,0,0,0,0,0,309000,,
YUG,.27777779,.48888889,,,,,,,,,,,,,,,,100,6.318182,,0,,,,,,,
ZAF,.83098179,.32222223,19,29,39,-2,7,71,91,54,67,1,0,0,0,0,1,16,6.8636365,8.885994,0,47,4,0,2,0,2.74084,1
ZAR,.87225288,0,25,32,36,14,19,88,95,61,73,0,0,0,0,0,0,0,3.5,6.8669333,0,0,0,0,3,4540,5.480639,1
ZMB,.82939768,.16666667,21,28,38,4,14,39,85,19,71,1,0,0,0,0,0,0,6.6363635,6.8134446,1,0,0,0,0,0,,
ZWE,.59863639,.22222222,18,26,35,0,9,43,77,26,57,1,0,0,0,0,0,4,6,7.6962128,0,0,0,0,0,0,,
